property_type,places,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,lat,lon
house,Tlalpan,"19.286214,-99.222026",3400000.0,MXN,3369242.59,179134.04,80.0,80.0,2239.1755000000003,42500.0,19.286214,-99.222026
apartment,Cuauhtemoc,"19.408904,-99.174556",2029333.0,MXN,2010975.1,106918.42,105.0,105.0,1018.2706666666667,19326.98095,19.408904,-99.174556
house,AlvaroObregon,"19.337902,-99.236776",2380000.0,MXN,2358469.85,125393.83,250.0,250.0,501.57532000000003,9520.0,19.337902,-99.236776
apartment,Cuajimalpa,"19.390415,-99.254997",800000.0,USD,15046800.0,800000.0,446.0,446.0,1793.721973,1793.721973,19.390415,-99.254997
apartment,Azcapotzalco,"19.484102,-99.184360",917302.0,MXN,909219.25,48340.87,49.0,49.0,986.5483673469388,18720.44898,19.484102,-99.18436
house,AlvaroObregon,"19.353288,-99.244721",2589000.0,MXN,2565579.08,136405.3,290.0,290.0,470.3631034482758,8927.586207,19.353288,-99.244721
apartment,Azcapotzalco,"19.474885,-99.188231",1350000.0,MXN,1337787.47,71126.75,75.0,75.0,948.3566666666667,18000.0,19.474885,-99.188231
apartment,Iztapalapa,"19.36994,-99.007399",583000.0,MXN,577726.02,30716.22,56.0,56.0,548.5039285714286,10410.71429,19.36994,-99.007399
apartment,AlvaroObregon,"19.358585,-99.185753",4279100.0,MXN,4240390.05,225450.73,93.0,93.0,2424.2013978494624,46011.82796,19.358585,-99.185753
apartment,AlvaroObregon,"19.337013,-99.197613",2689178.0,MXN,2664850.91,141683.33,300.0,300.0,472.27776666666665,8963.926667,19.337013,-99.197613
apartment,BenitoJuarez,"19.379525,-99.188914",1042000.0,MXN,1032573.67,54899.31,70.0,70.0,784.2758571428571,14885.71429,19.379525,-99.188914
apartment,Cuajimalpa,"19.357350,-99.299792",4400000.0,MXN,4360196.25,231820.52,162.0,162.0,1430.9908641975308,27160.49383,19.35735,-99.299792
apartment,Iztacalco,"19.400731,-99.125466",1292000.0,MXN,1280312.08,68070.93,80.0,80.0,850.8866249999999,16150.0,19.400731,-99.125466
apartment,BenitoJuarez,"19.371992,-99.157853",7900000.0,MXN,7828534.43,416223.22,150.0,150.0,2774.8214666666663,52666.66667,19.371992,-99.157853
apartment,BenitoJuarez,"19.390283,-99.1770974",5075300.0,MXN,5167307.91,274732.59,98.0,98.0,2803.393776,52727.63173469388,19.390283,-99.1770974
apartment,Cuauhtemoc,"19.4124708,-99.1717827",4050000.0,MXN,4014314.33,213430.86,110.0,110.0,1940.280545,36818.18182,19.4124708,-99.1717827
apartment,Cuajimalpa,"19.3563182,-99.2882606",1705000.0,MXN,1689576.01,89830.45,44.0,44.0,2041.6011363636362,38750.0,19.3563182,-99.2882606
house,AlvaroObregon,"19.371502,-99.232647",11026933.0,MXN,10927180.26,580970.32,307.0,307.0,1892.4114657980454,35918.34853,19.371502,-99.232647
apartment,MiguelHidalgo,"19.428324,-99.176337",3325930.0,MXN,3295842.6,175231.55,80.0,80.0,2190.394375,41574.125,19.428324,-99.176337
house,Xochimilco,"19.272594,-99.137045",4127333.0,MXN,4090965.92,217506.23,176.0,176.0,1235.8308522727273,23450.75568,19.272594,-99.137045
house,MagdalenaContreras,"19.2981344924,-99.2395804077",3815000.0,MXN,3780488.37,200998.93,527.0,527.0,381.4021442,7173.602220113852,19.2981344924,-99.2395804077
apartment,Azcapotzalco,"19.480501,-99.178139",870000.0,MXN,862129.72,45837.24,70.0,70.0,654.8177142857143,12428.57143,19.480501,-99.178139
house,Azcapotzalco,"19.472634,-99.197437",2800000.0,MXN,2774670.35,147522.15,110.0,110.0,1341.1104545454546,25454.54545,19.472634,-99.197437
apartment,Tlalpan,"19.288275,-99.167125",2566600.0,MXN,2543381.66,135225.12,64.0,64.0,2112.8925,40103.125,19.288275,-99.167125
apartment,Cuauhtemoc,"23.634501,-102.552788",1180000.0,MXN,1169325.38,62170.05,81.0,81.0,767.5314814814815,14567.90123,23.634501,-102.552788
house,AlvaroObregon,"19.352528,-99.217276",1514680.0,MXN,1501333.59,79822.08,496.0,496.0,160.9316129032258,3053.790323,19.352528,-99.217276
apartment,Azcapotzalco,"19.484102,-99.184360",1060000.0,MXN,1050410.9,55847.67,60.0,60.0,930.7945,17666.66667,19.484102,-99.18436
apartment,Iztacalco,"19.402752,-99.098587",1870000.0,MXN,1853083.38,98523.72,78.0,78.0,1263.1246153846155,23974.35897,19.402752,-99.098587
apartment,Azcapotzalco,"19.465454,-99.162665",1430636.0,MXN,1417694.07,75375.18,90.0,90.0,837.502,15895.95556,19.465454,-99.162665
apartment,Cuauhtemoc,"19.4114169,-99.1739405",8000000.0,MXN,7929509.74,421591.82,175.0,175.0,2409.0961142857145,45714.28571,19.4114169,-99.1739405
apartment,BenitoJuarez,"19.3853063,-99.1521292",4250000.0,MXN,4212551.97,223970.65,108.0,108.0,2073.802315,39351.85185,19.3853063,-99.1521292
apartment,VenustianoCarranza,"19.414261,-99.104118",938000.0,MXN,929514.56,49419.92,48.0,48.0,1029.5816666666667,19541.66667,19.414261,-99.104118
apartment,MiguelHidalgo,"19.443152,-99.202733",8369168.0,MXN,8293458.17,440942.03,255.0,255.0,1729.1844313725492,32820.26667,19.443152,-99.202733
apartment,AlvaroObregon,"19.364996,-99.241523",1400000.0,MXN,1387335.08,73761.07,42.0,42.0,1756.2159523809526,33333.33333,19.364996,-99.241523
apartment,Cuauhtemoc,"19.408904,-99.174556",2029333.0,MXN,2010975.1,106918.42,105.0,105.0,1018.2706666666667,19326.98095,19.408904,-99.174556
apartment,Tlalpan,"19.290953,-99.124863",1049000.0,MXN,1039510.43,55268.12,95.0,95.0,581.7696842105263,11042.10526,19.290953,-99.124863
apartment,AlvaroObregon,"19.390806,-99.195413",1250000.0,MXN,1238692.07,65858.1,60.0,60.0,1097.635,20833.33333,19.390806,-99.195413
house,Iztapalapa,"19.336441,-99.010132",1047000.0,MXN,1037528.39,55162.74,154.0,154.0,358.19961038961037,6798.701299,19.336441,-99.010132
apartment,Cuajimalpa,"19.357350,-99.299792",21000000.0,MXN,20814963.31,1106678.54,555.0,555.0,1994.015387,37837.83784,19.35735,-99.299792
apartment,AlvaroObregon,"19.3609784,-99.2084005",6350000.0,MXN,6292556.14,334559.17,168.0,168.0,1991.4236309523808,37797.61905,19.3609784,-99.2084005
apartment,AlvaroObregon,"19.390806,-99.195413",4662000.0,MXN,4620921.74,245682.63,146.0,100.0,1682.75774,46620.0,19.390806,-99.195413
house,Tlalpan,"19.2865191,-99.2283274",2975000.0,MXN,2948786.47,156779.46,240.0,140.0,653.24775,21250.0,19.2865191,-99.2283274
apartment,Cuauhtemoc,"19.418048,-99.158527",1400000.0,MXN,1387335.08,73761.07,137.0,137.0,538.4019708029198,10218.9781,19.418048,-99.158527
apartment,MiguelHidalgo,"19.407269,-99.190754",1256606.0,USD,23634873.95,1256606.0,206.0,206.0,6100.029126,6100.029126,19.407269,-99.190754
apartment,MiguelHidalgo,"19.443178,-99.20237",9403995.0,MXN,9318923.92,495463.43,288.0,288.0,1720.3591319444445,32652.76042,19.443178,-99.20237
house,Tlalpan,"19.281164,-99.20237",2191500.0,MXN,2171674.92,115462.42,130.0,130.0,888.1724615384616,16857.69231,19.281164,-99.20237
house,MiguelHidalgo,"19.4122137,-99.2153341",3350000.0,USD,63008475.0,3350000.0,1100.0,1200.0,3045.454545,2791.666667,19.4122137,-99.2153341
apartment,MiguelHidalgo,"19.405883,-99.183079",605000.0,MXN,599526.95,31875.32,70.0,70.0,455.3617142857143,8642.857143,19.405883,-99.183079
apartment,Azcapotzalco,"19.471896,-99.224024",812800.0,MXN,805447.11,42823.57,70.0,70.0,611.7652857142857,11611.42857,19.471896,-99.224024
apartment,Coyoacan,"19.309208,-99.171906",1000000.0,MXN,991188.57,52698.97,63.0,63.0,836.4915873015873,15873.01587,19.309208,-99.171906
house,Iztapalapa,"19.354297,-98.9978448",1400000.0,MXN,1387664.04,73778.56,252.0,252.0,292.7720635,5555.555556,19.354297,-98.9978448
house,Coyoacan,"19.306892,-99.105556",4950000.0,MXN,4905220.87,260798.09,260.0,260.0,1003.069576923077,19038.46154,19.306892,-99.105556
apartment,Coyoacan,"19.304501,-99.123121",905000.0,MXN,896812.97,47681.26,60.0,60.0,794.6876666666667,15083.33333,19.304501,-99.123121
apartment,BenitoJuarez,"19.39365,-99.14769",2993000.0,MXN,2965924.4,157690.64,75.0,75.0,2102.541867,39906.66667,19.39365,-99.14769
apartment,Cuauhtemoc,"19.409369,-99.171906",4592000.0,MXN,4550459.46,241936.33,64.0,64.0,3780.25515625,71750.0,19.409369,-99.171906
apartment,BenitoJuarez,"19.36269,-99.150565",1260000.0,MXN,1248601.52,66384.96,75.0,75.0,885.1328000000001,16800.0,19.36269,-99.150565
apartment,AlvaroObregon,"19.3392293,-99.2189838",4800000.0,MXN,4756577.86,252895.12,150.0,150.0,1685.967467,32000.0,19.3392293,-99.2189838
house,Cuajimalpa,"19.395424,-99.258068",21500000.0,MXN,21305505.17,1132759.4,682.0,682.0,1660.9375366568913,31524.92669,19.395424,-99.258068
apartment,GustavoAMadero,"19.464712,-99.124872",2500000.0,MXN,2477384.14,131716.2,208.0,208.0,633.2509615384616,12019.23077,19.464712,-99.124872
apartment,Iztacalco,"19.400097,-99.122093",1699000.0,MXN,1683630.27,89514.33,51.0,51.0,1755.1829411764706,33313.72549,19.400097,-99.122093
apartment,BenitoJuarez,"19.367025,-99.170349",3150000.0,MXN,3121504.17,165962.42,97.0,97.0,1710.9527835051547,32474.2268,19.367025,-99.170349
apartment,Azcapotzalco,"19.484532,-99.207027",1454166.0,MXN,1441011.15,76614.89,75.0,75.0,1021.5318666666667,19388.88,19.484532,-99.207027
apartment,Tlalpan,"19.278198,-99.200831",1320000.0,MXN,1308058.76,69546.15,65.0,65.0,1069.940769230769,20307.69231,19.278198,-99.200831
house,Iztacalco,"19.3972156,-99.0648632",4400000.0,MXN,4361230.34,231875.5,200.0,450.0,1159.3775,9777.777778,19.3972156,-99.0648632
apartment,Iztacalco,"19.383251,-99.105499",722000.0,MXN,715468.56,38039.64,74.0,74.0,514.0491891891892,9756.756757,19.383251,-99.105499
apartment,Cuauhtemoc,"19.461871,-99.129227",988250.0,MXN,979309.88,52067.41,75.0,75.0,694.2321333333334,13176.66667,19.461871,-99.129227
apartment,Cuauhtemoc,"19.422398,-99.167129",1414000.0,MXN,1401208.42,74498.68,60.0,60.0,1241.6446666666666,23566.66667,19.422398,-99.167129
apartment,Cuauhtemoc,"19.41498,-99.177444",5500000.0,MXN,5451537.83,289844.37,164.0,164.0,1767.343719512195,33536.58537,19.41498,-99.177444
apartment,Azcapotzalco,"19.484102,-99.184360",877960.0,MXN,870017.63,46256.62,52.0,52.0,889.5503846153847,16883.84615,19.484102,-99.18436
apartment,Coyoacan,"19.303736,-99.163605",2012592.0,MXN,1994858.47,106061.54,63.0,63.0,1683.5165079365079,31945.90476,19.303736,-99.163605
apartment,MiguelHidalgo,"19.407269,-99.190754",720000.0,USD,13542120.0,720000.0,160.0,160.0,4500.0,4500.0,19.407269,-99.190754
apartment,MiguelHidalgo,"19.453513,-99.210223",751334.0,MXN,744537.1,39585.14,75.0,75.0,527.8018666666667,10017.78667,19.453513,-99.210223
house,Tlalpan,"19.3026056362,-99.2058026791",3930000.0,MXN,3894448.13,207057.88,400.0,400.0,517.6447,9736.120325,19.3026056362,-99.2058026791
house,Iztapalapa,"19.3661948918,-99.1211414337",3300000.0,MXN,3270922.66,173906.62,160.0,198.0,1086.916375,16666.66667,19.3661948918,-99.1211414337
apartment,AlvaroObregon,"19.365766,-99.263112",3420000.0,MXN,3389061.67,180187.77,120.0,120.0,1501.56475,28500.0,19.365766,-99.263112
apartment,VenustianoCarranza,"19.439037,-99.119514",659000.0,MXN,653038.45,34720.39,50.0,50.0,694.4078,13180.0,19.439037,-99.119514
apartment,Coyoacan,"19.350214,-99.162146",754900.0,MXN,748070.84,39773.02,76.0,76.0,523.3292105263157,9932.894737,19.350214,-99.162146
house,MiguelHidalgo,"19.4010793,-99.2480728",22500000.0,MXN,22301746.27,1185727.0,450.0,600.0,2634.948889,37500.0,19.4010793,-99.2480728
house,AlvaroObregon,"19.367477,-99.222025",3060000.0,MXN,3032318.4,161220.64,300.0,300.0,537.4021333333334,10200.0,19.367477,-99.222025
apartment,AlvaroObregon,"19.384327,-99.215523",900000.0,MXN,891858.25,47417.83,66.0,66.0,718.4519696969697,13636.36364,19.384327,-99.215523
apartment,Iztapalapa,"19.317698,-99.061256",659000.0,MXN,653038.45,34720.39,60.0,60.0,578.6731666666667,10983.33333,19.317698,-99.061256
apartment,Cuauhtemoc,"19.422201,-99.159447",2720667.0,MXN,2696054.96,143342.37,100.0,100.0,1433.4237,27206.67,19.422201,-99.159447
apartment,Azcapotzalco,"19.503195,-99.206723",1300000.0,MXN,1288545.31,68508.67,90.0,90.0,761.2074444444444,14444.44444,19.503195,-99.206723
house,Cuajimalpa,"19.364245,-99.302638",1200000.0,MXN,1189426.4,63238.77,247.0,247.0,256.02740890688256,4858.299595,19.364245,-99.302638
apartment,Cuauhtemoc,"19.405298,-99.164986",4280000.0,MXN,4241281.95,225498.15,74.0,74.0,3047.2722972972974,57837.83784,19.405298,-99.164986
apartment,BenitoJuarez,"19.3687777,-99.1897886",3200000.0,MXN,3171803.93,168636.73,95.0,95.0,1775.1234736842107,33684.21053,19.3687777,-99.1897886
apartment,GustavoAMadero,"19.524143,-99.160149",650000.0,MXN,644119.84,34246.21,59.0,59.0,580.4442373,11016.94915,19.524143,-99.160149
apartment,Iztapalapa,"19.325608,-99.06112",602000.0,MXN,596554.08,31717.26,65.0,65.0,487.9578461538461,9261.538462,19.325608,-99.06112
apartment,VenustianoCarranza,"19.457685,-99.121754",592667.0,MXN,587305.56,31225.54,40.0,40.0,780.6385,14816.675,19.457685,-99.121754
apartment,BenitoJuarez,"19.3677299,-99.1527773",3000000.0,MXN,2972861.16,158059.45,100.0,100.0,1580.5945,30000.0,19.3677299,-99.1527773
apartment,AlvaroObregon,"19.332149,-99.244008",1626000.0,MXN,1611290.71,85668.22,70.0,70.0,1223.8317142857143,23228.57143,19.332149,-99.244008
apartment,Cuauhtemoc,"19.420103,-99.171297",9879628.0,MXN,9790254.21,520522.86,243.0,243.0,2142.0693827160494,40656.90535,19.420103,-99.171297
house,AlvaroObregon,"19.352528,-99.217276",1514680.0,MXN,1501333.59,79822.08,148.0,148.0,539.3383783783784,10234.32432,19.352528,-99.217276
house,Azcapotzalco,"19.481972,-99.199944",3200000.0,MXN,3171051.78,168596.74,320.0,320.0,526.8648125,10000.0,19.481972,-99.199944
apartment,MiguelHidalgo,"19.407269,-99.190754",1450000.0,USD,27272325.0,1450000.0,220.0,220.0,6590.909091,6590.909091,19.407269,-99.190754
apartment,Iztacalco,"19.410307,-99.065399",1700000.0,MXN,1684621.29,89567.02,64.0,64.0,1399.4846875,26562.5,19.410307,-99.065399
apartment,Coyoacan,"19.334351,-99.11442",1252666.0,MXN,1241628.26,66014.21,540.0,540.0,122.24853703703705,2319.751852,19.334351,-99.11442
apartment,BenitoJuarez,"19.403489,-99.156312",4850000.0,MXN,4806125.47,255529.44,112.0,112.0,2281.5128571428572,43303.57143,19.403489,-99.156312
house,GustavoAMadero,"19.515999,-99.155679",1869000.0,MXN,1852092.36,98471.03,204.0,204.0,482.7011274509804,9161.764706,19.515999,-99.155679
apartment,BenitoJuarez,"19.379109,-99.187689",1042000.0,MXN,1032573.67,54899.31,60.0,60.0,914.9884999999999,17366.66667,19.379109,-99.187689
house,AlvaroObregon,"19.3472426513,-99.1838417575",2000000.0,USD,37617000.0,2000000.0,1332.0,619.0,1501.501502,3231.017771,19.3472426513,-99.1838417575
apartment,MiguelHidalgo,"19.452419,-99.175058",980000.0,MXN,971134.57,51632.75,85.0,85.0,607.4441176470589,11529.41176,19.452419,-99.175058
apartment,Tlalpan,"19.287188,-99.170525",1300000.0,MXN,1288239.68,68492.42,50.0,50.0,1369.8483999999999,26000.0,19.287188,-99.170525
apartment,Cuauhtemoc,"19.4152179,-99.1790121",4705400.0,MXN,4790702.12,254709.42,83.0,83.0,3068.788193,57719.30265060241,19.4152179,-99.1790121
apartment,Azcapotzalco,"19.475187,-99.175019",839000.0,MXN,831409.99,44203.95,60.0,60.0,736.7325,13983.33333,19.475187,-99.175019
house,GustavoAMadero,"19.508795,-99.125714",5420000.0,MXN,5372242.88,285628.46,370.0,370.0,771.9688108108109,14648.64865,19.508795,-99.125714
apartment,MiguelHidalgo,"19.438042,-99.188619",9200000.0,MXN,9116774.3,484715.65,100.0,100.0,4847.1565,92000.0,19.438042,-99.188619
